Epoch:97/1000, hm:1.26695, ciou:0.33013, lm:19.18059, total:24.63211
Epoch:98/1000, hm:1.24186, ciou:0.32720, lm:18.93596, total:24.29757
Epoch:99/1000, hm:1.21478, ciou:0.33117, lm:19.23106, total:24.53126
Epoch:100/1000, hm:1.25016, ciou:0.32824, lm:19.28776, total:24.67944
Epoch:100/1000, Easy:0.89119, Medium:0.87022, Hard:0.70257
Epoch:101/1000, hm:1.25637, ciou:0.32649, lm:18.94275, total:4.78310
Epoch:102/1000, hm:1.28906, ciou:0.32972, lm:19.55236, total:4.89291
Epoch:103/1000, hm:1.29157, ciou:0.32848, lm:20.01291, total:4.93525
Epoch:104/1000, hm:1.32277, ciou:0.33098, lm:20.38562, total:5.01622
Epoch:105/1000, hm:1.32631, ciou:0.33104, lm:20.81453, total:5.06297
Epoch:106/1000, hm:1.36784, ciou:0.33331, lm:21.28184, total:5.16258
Epoch:107/1000, hm:1.39612, ciou:0.33458, lm:21.27455, total:5.19649
Epoch:108/1000, hm:1.32444, ciou:0.33218, lm:21.41386, total:5.12671
Epoch:109/1000, hm:1.35019, ciou:0.33020, lm:21.18870, total:5.12004
Epoch:110/1000, hm:1.34447, ciou:0.33110, lm:21.49115, total:5.14911
Epoch:110/1000, Easy:0.88232, Medium:0.86684, Hard:0.69165
Epoch:111/1000, hm:1.38233, ciou:0.33180, lm:21.56124, total:5.19744
Epoch:112/1000, hm:1.33929, ciou:0.33270, lm:21.46114, total:5.14889
Epoch:113/1000, hm:1.32662, ciou:0.32860, lm:21.35285, total:5.10490
Epoch:114/1000, hm:1.37701, ciou:0.32676, lm:21.30044, total:5.14085
Epoch:115/1000, hm:1.31681, ciou:0.32810, lm:21.37265, total:5.09457
Epoch:116/1000, hm:1.32626, ciou:0.32686, lm:21.44869, total:5.10543
Epoch:117/1000, hm:1.32159, ciou:0.32580, lm:21.26895, total:5.07751
Epoch:118/1000, hm:1.33314, ciou:0.32724, lm:21.10477, total:5.07983
Epoch:119/1000, hm:1.30692, ciou:0.32472, lm:21.00907, total:5.03140
Epoch:120/1000, hm:1.29147, ciou:0.32548, lm:21.28665, total:5.04754
Epoch:120/1000, Easy:0.89892, Medium:0.87905, Hard:0.69323
Epoch:121/1000, hm:1.30228, ciou:0.32535, lm:21.30224, total:5.05924
